,1000 Questions,,,1,20%
 89 ,"In 1987, United States Suprema Court in the case of Nollan versus California Coastal Commission ruled against the California which required Nollan to dedicate a public sidewalk easement across their beachfront property as a building permit condition, thus the Court formulated a principle for government's regulatory action that 'land use restrictions must be tied directly to a specific public purpose.'
 (A) Rough Proportionality 
(B) Calibrated Authority 
(C) Calculated Aggression 
(D) Rational Nexus",D,,,
 90 ,"Johann Heinreich von Thunen's theory of Agricultural Rent is symbolized as ""LR= Y (p•c) - Ytd"" where 'Y' is yield or total harvest, 'p' is price of crop, 'c' is production cost of crop, 't' is transport cost and 'd' is distance to market If -a yield or palay is 3,500 kilos, NFA buying price is P17.xx per kilo, distance is 5 km, given farmer's gross production cost of 45 cents per square meter per day for unit production cost of P12.xx per kilo, would palay cultivation be profitable at this specific farm location if transport cost is P1 .00 per kilo of palay? 
(A) Yes 
(B) No 
(C) It depends on the weather 
(D) It depends on quality of road & capacity of vehicle",B,,,
 91 ,"The 'hierarchy of settlements' in Walter Christaller's Central Place Theory is characterized by 
(A) equally-sized large cities in every region 
(B) only one large city. many small settlements 
(C) only medium-sized and small settlements 
(D) a few large cities, some medium cities. many small settlements",D,,,
 92 ,"What Christallerian principles form the basis why a state university, a consumer man, a huge sports stadium, or a tertiary-level hospital can not be established in each and every Philippine municipality? 
(A) spatial equity and bio-geographic equity
(B) specialization and concentration 
(C) market range and threshold population 
(D) profitability and pecuniary interest",C,,,
 93 ,"A chart-like tool to measure 'centrality' of a place particularly its range of economic and social functions, is called 
(A) Matrix 
(B) lsotims 
(C) lsodapanes 
(D) Scalogram",D,,,
 94 ,"Central Place Theory was round faulty in assuming uniform topography, Oat featureless terrain, ease of travel in all 15 directions, and ubiquity or all-around presence of economic resources, but its major strength lies in characterizing the locational advantages of one place in relation to another, a geographic concept called – 
(A) Surrounding 
(B) Standing 
(C) Situation 
(D) State",C,,,
 95 ,"The main weakness or applying Central Place Theory in a simplistic way on the Philippines is that 
(A) unlike other countries, Philippines does not have compact land mass with homogenous features 
(B) archipelagic nature creates natural discontinuities that render movement & economic exchange difficult 
(C) spatial integration between urban and rural areas is impeded by poor transport that inflates prices 
(D) all of tile above",D,,,
 96 ,"In 2009, the Philippine city with biggest population, biggest gross Income, biggest net Income, and biggest IRA was 
(A) City of Manila 
(B) Makati City 
(C) Quezon City 
(D) Cebu City",C,,,
 97 ,"George Zipfs Rank-Size Rule, 'P,=P,/ nq' was derived from Christaller's Central Place Theory, and asserts that the populabon of city 'n' ls equal to the population of the largest city '1' divided by the rank of 'n' in the hierarchy of places. If the largest city, 'ABCD' had 2.6 million people in 2007 official census, using Zipfs rule what should have been the population of Davao City if it was ranked Number 4?
(A) 520,000 
(B) 1,520,000 
(C) 1,300,000 
(D) 650,000",D,,,
 98 ,"Does the formula of George Zipf in the immediately-preceding question match the reality on the ground based on 2007 Official Census of the National Statistics Office? 
(A) Yes 
(B) Partially 
(C) No 
(D) Depends on whether old Davao City or Metro Davao is being analyzed",C,,,
 99 ,"In the model of mono-centric cities, it is assumed that manufacturers locate close to transport arteries, blue-collar workers locate close to their jobs, while traders and retailers pay higher for choice locations in city center to have command of the market. This pattern of land use is explained better by which theory of spatial planning? 
(A) Urban Bid•Rent by Alonso, Muth, and Mills 
(B) Cumulative Causation by Gunnar Myrdal
(C) Urban land Nexus Theory by David Harvey
(D) City as Growth Machine by John Logan & Harvey Molotch",A,,,
 100 ,"""When all land is identical and there is perfect competition among profit-maximizing firms, land is sold to the highest bidder. As a firm moves closer to the center of a place, transport costs fall which increases the amount a firm is willing to pay for land. Thus, land at the center always has the highest value.""
(A) Johann Henreich von Thunen, Walter Christaller, and George Kingsley Zipf 
(B) William Alonso, Richard Muth and Edwin S. Mills 
(C) Alfred Weber, August Losch, and Walter lsard 
(D) Roderick D. McKenzie, Amos H. Hawley, Robert Park",B,,,
 101 ,"Neo-classical Urban Bid-Rent theory provides the formula for Location Rent at center of city as equal = to 'Rent Gradient' times 'Radius' where Rent Gradient is equal to 'transport cost per capita per year' multiplied by 'density per sq.km'. If Pateros has a radius distance of 10.266 km from the center of Metro Manila, with average density of 29,495.24 persons per km2 in 2009 and P15,330 transport cost per capita per year, what should be the location rent per square meter in Pateros as periphery-town of Metro Manila? 
(A) 4,641 per m2 
(B) around 46,410 per m2 
(C) around 464,100 per m2 
(D) around 464.10 per m2",A,,,
 102 ,"According to Raleigh Barlowe (1958), this refers to the most profitable use of land when it yields optimum returns given limited inputs; such returns can either be monetary or non-monetary, tangible or intangible, based on the criteria and interest of the person who makes such decisions. 
(A) Maximum Sustainable Rent 
(B) Profit Maximization 
(C) Pareto Optimality 
(D) Highest and Best Use",D,,,
 103 ,"Which theorist of urban land use states categorically that land use follows transport in the same manner that both population and business follow roads?  
(A) Ernest Burgess 
(B) Homer Hoyt 
(C) Chauncey Harris & Edward Ullman 
(D) Peirce Lewis",B,,,
 104 ,"ln urban land use models of the Chicago school of human ecology, the affluent and middle classes are inclined to move away from the downtown and inner-city in favor of suburban locations and this process results in a paradox or 'spatial mismatch' as regards labor. 
(A) sophisticated upperclasses locate in city-edges with semi-rural conditions where no employment is available 
(B) lower-classes who cannot create employment by themselves are left to occupy high-priced land in the inner core of cities 
(C) blue-collar workers from lower middle class are forced to accept menial or low-skill jobs as maids, yayas, gardeners in affluent suburban subdivisions 
(D) non-tax paying people in the informal sector are closer to the seat of government than the landed gentry",B,,,
 105 ,"In Peirce Lewis' revision of the Burgess' mono-centric model of urban land use, which of the following describes the spatial decline of concentric cities least effectively? 
(A) The elite and their businesses leave the inner core due to pollution and congestion. 
(B) Hollowing-out of the core results in 'the donut shape' 
(C) Surrounded by the poor in the historic center, government increasingly becomes captive to pressure groups 
(D) land values rapidly fall in inner-city areas experiencing urban blight and urban decay",C,,,
 106 ,"Which of the following land-use models describes the pattern of radial or axial growth along lies of least resistance? 
(A) Multiple nuclei 
(B) Concentric zone 
(C) Sector model 
(D) Polycentric mode",C,,,
 107 ,"In the model of Hoyt, the sections of urban lend with the highest values are those: 
(A) downtown sections facing seas, lakes & near waterfronts 
(B) on top of hills and elevated areas called 'uptowns'
(C) immediately around public offices / institutional sector 
(D) along major roadways",D,,,
 108 ,"Social status declines with increasing distance from the center of the city' is a proposition about poor Third World countries that contradicts the original land use models from tile Chicago school of human ecology. 
(A) Donut model 
(B) Core-Periphery Dependency Model 
(C) Polycentric model 
(D) Inverse Concentric",D,,,
